Netblock,Description,Num IPs
45.125.209.0/24,Mobifone Global JSC,256
45.125.210.0/24,Mobifone Global JSC,256
45.125.211.0/24,Mobifone Global JSC,256
110.35.64.0/21,National Agency for Scientific and Technological Information,2048
110.35.64.0/24,National Agency for Scientific and Technological Information,256
110.35.66.0/24,National Agency for Scientific and Technological Information,256
110.35.67.0/24,National Agency for Scientific and Technological Information,256
119.18.128.0/20,National Agency for Scientific and Technological Information,4096
119.18.130.0/24,National Agency for Scientific and Technological Information,256
119.18.141.0/24,National Agency for Scientific and Technological Information,256
119.18.142.0/24,National Agency for Scientific and Technological Information,256
203.191.48.0/21,National Agency for Scientific and Technological Information,2048
203.191.52.0/24,National Agency for Scientific and Technological Information,256
103.19.164.0/22,Mobifone Global JSC,1024
103.19.164.0/24,Mobifone Global JSC,256
103.19.165.0/24,Mobifone Global JSC,256
103.19.166.0/24,Mobifone Global JSC,256
103.19.167.0/24,Mobifone Global JSC,256
103.237.64.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
103.37.28.0/22,"Tien Phong Co., LTD",1024
103.37.28.0/24,"Tien Phong Co., LTD",256
103.37.29.0/24,"Tien Phong Co., LTD",256
103.37.30.0/24,"Tien Phong Co., LTD",256
103.37.31.0/24,"Tien Phong Co., LTD",256
103.37.32.0/22,"ADC Software., JSC",1024
103.37.32.0/24,"ADC Software., JSC",256
103.37.33.0/24,"ADC Software., JSC",256
103.37.34.0/24,"ADC Software., JSC",256
103.37.35.0/24,"ADC Software., JSC",256
